ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_Score,Credit_History,Employment_Status,Education,Property_Area,Age,Loan_Status
17112,9305,190594,180,527,1,Self_Employed,Not Graduate,Rural,44,0
16207,3001,667996,300,549,0,Salaried,Graduate,Urban,37,0
6805,4810,329534,360,784,0,Unemployed,Not Graduate,Rural,41,0
8258,2906,261878,240,670,1,Unemployed,Graduate,Rural,42,1
14695,7437,216647,300,591,1,Unemployed,Graduate,Urban,37,0
17578,4961,176588,360,389,1,Unemployed,Not Graduate,Urban,23,0
9262,2541,396417,360,724,1,Unemployed,Graduate,Rural,56,1
4808,6401,699464,180,346,1,Salaried,Not Graduate,Urban,59,0
1665,5600,553807,240,329,1,Salaried,Not Graduate,Semiurban,28,0
2915,838,375456,360,613,1,Unemployed,Not Graduate,Rural,54,0
19705,3362,147928,300,530,0,Unemployed,Not Graduate,Semiurban,42,0
10794,6702,386745,360,656,0,Unemployed,Graduate,Rural,31,0
12709,6490,334627,300,355,1,Unemployed,Graduate,Urban,26,0
18407,9702,489132,360,783,1,Salaried,Graduate,Urban,42,1
8728,8849,72874,180,448,0,Self_Employed,Not Graduate,Rural,25,0
15515,5388,139203,240,354,1,Self_Employed,Not Graduate,Rural,34,0
2199,9588,62702,360,676,0,Self_Employed,Graduate,Semiurban,37,0
15726,9127,230629,360,620,1,Unemployed,Graduate,Semiurban,49,0
13457,6000,595652,180,557,1,Salaried,Graduate,Urban,34,0
15096,4023,675955,360,533,0,Self_Employed,Not Graduate,Semiurban,34,0
18332,6809,68402,120,414,1,Salaried,Graduate,Semiurban,44,0
13492,8508,661965,120,308,1,Self_Employed,Not Graduate,Semiurban,25,0
16740,998,517776,300,475,1,Self_Employed,Not Graduate,Rural,38,0
4967,7268,554569,360,833,0,Salaried,Graduate,Rural,51,0
12216,7782,310671,300,766,0,Self_Employed,Not Graduate,Urban,32,0
15759,7895,482856,360,504,1,Unemployed,Graduate,Semiurban,38,0
4587,6735,250878,180,699,1,Salaried,Graduate,Rural,29,1
1631,5383,222640,240,734,1,Salaried,Not Graduate,Urban,37,0
18097,5954,666616,240,435,0,Unemployed,Not Graduate,Rural,47,0
4856,1300,426378,300,451,1,Unemployed,Graduate,Urban,55,0
13489,8669,196845,120,651,1,Unemployed,Not Graduate,Urban,57,1
3114,288,456582,360,794,1,Salaried,Graduate,Urban,21,0
4427,3475,78660,240,321,0,Unemployed,Not Graduate,Semiurban,29,0
6440,6124,197282,300,403,1,Self_Employed,Graduate,Urban,56,0
2791,3052,92085,360,442,1,Unemployed,Graduate,Rural,34,0
19267,3606,510866,180,617,0,Salaried,Graduate,Semiurban,41,0
6345,86,87849,300,795,1,Self_Employed,Graduate,Urban,54,1
18540,2540,462571,120,491,0,Salaried,Not Graduate,Urban,38,0
13021,6373,495293,360,626,0,Salaried,Not Graduate,Urban,27,0
12268,6716,479526,360,589,0,Self_Employed,Not Graduate,Urban,38,0
4093,6818,199290,240,706,0,Unemployed,Not Graduate,Rural,50,0
3010,8765,663301,240,501,1,Self_Employed,Not Graduate,Rural,55,0
10500,9142,592301,300,395,1,Salaried,Graduate,Rural,52,0
2630,1062,109424,120,795,0,Unemployed,Not Graduate,Urban,41,0
2095,5084,213687,240,314,1,Salaried,Graduate,Semiurban,44,0
6350,8880,519157,360,725,1,Salaried,Graduate,Urban,45,1
19324,4514,379354,300,693,1,Self_Employed,Graduate,Semiurban,32,1
18208,9921,588505,300,528,1,Unemployed,Graduate,Semiurban,39,0
7035,145,654481,120,324,1,Unemployed,Not Graduate,Semiurban,30,0
10354,6708,63120,240,305,1,Self_Employed,Not Graduate,Urban,30,0
9409,8333,110057,240,886,1,Self_Employed,Graduate,Urban,50,1
1579,4113,105485,120,712,0,Unemployed,Graduate,Semiurban,54,0
12559,3871,154040,360,322,0,Unemployed,Not Graduate,Rural,52,0
13160,1557,453170,300,802,0,Salaried,Graduate,Rural,43,0
6630,4322,271403,120,500,1,Salaried,Not Graduate,Rural,46,0
11333,7789,569217,180,554,0,Self_Employed,Graduate,Urban,26,0
10540,943,210257,120,758,1,Salaried,Not Graduate,Rural,56,1
13498,1190,69208,300,641,1,Salaried,Not Graduate,Semiurban,39,0
3231,1183,318651,360,357,1,Unemployed,Not Graduate,Urban,43,0
19244,9456,238511,180,843,0,Unemployed,Not Graduate,Rural,54,0
10845,1860,411117,180,778,1,Salaried,Not Graduate,Rural,35,1
16700,2469,595980,180,853,1,Unemployed,Not Graduate,Semiurban,54,1
18247,4675,318653,300,420,1,Salaried,Graduate,Rural,59,0
6062,2069,450464,120,880,1,Self_Employed,Not Graduate,Urban,26,1
10389,2197,125491,240,790,1,Salaried,Graduate,Semiurban,22,1
9451,2370,568445,300,555,1,Self_Employed,Not Graduate,Rural,26,0
10603,9248,479446,300,654,0,Salaried,Graduate,Urban,59,0
13304,4325,486498,300,782,1,Self_Employed,Graduate,Semiurban,52,1
4899,9889,635724,240,540,1,Salaried,Not Graduate,Semiurban,54,0
15095,9443,296606,300,537,0,Salaried,Not Graduate,Urban,22,0
16052,6074,419339,240,754,1,Unemployed,Graduate,Urban,41,1
5909,5024,199144,180,664,1,Unemployed,Graduate,Semiurban,59,1
11956,9831,506588,120,767,0,Salaried,Not Graduate,Semiurban,41,0
7534,2659,487601,300,386,0,Self_Employed,Graduate,Urban,34,0
17962,6742,189519,240,615,0,Unemployed,Not Graduate,Semiurban,40,0
9642,6405,669873,180,740,1,Unemployed,Graduate,Semiurban,46,1
7203,3721,54824,360,481,1,Unemployed,Not Graduate,Semiurban,22,0
9451,6262,452831,120,456,0,Self_Employed,Graduate,Urban,26,0
11737,4417,477246,360,560,1,Unemployed,Not Graduate,Urban,26,0
19507,6845,699542,120,681,0,Unemployed,Graduate,Rural,45,0
7591,4331,175757,300,387,1,Self_Employed,Graduate,Urban,47,0
3113,4229,656609,240,403,1,Salaried,Not Graduate,Semiurban,49,0
10202,4292,631512,120,829,1,Self_Employed,Not Graduate,Urban,55,1
9081,19,346385,300,362,1,Salaried,Not Graduate,Rural,45,0
17582,2982,498788,180,436,1,Salaried,Not Graduate,Rural,41,0
9312,8181,130552,300,804,1,Self_Employed,Graduate,Urban,38,1
6541,2807,194756,360,779,0,Salaried,Graduate,Rural,21,0
17429,8845,360400,120,699,0,Unemployed,Not Graduate,Urban,55,0
9388,8203,620921,240,765,0,Unemployed,Graduate,Rural,51,0
8709,9047,186066,360,625,1,Unemployed,Graduate,Semiurban,27,0
11190,5478,593190,180,409,0,Self_Employed,Graduate,Urban,25,0
19660,8758,52014,300,455,1,Salaried,Graduate,Semiurban,29,0
10910,2344,476888,120,498,1,Salaried,Not Graduate,Semiurban,40,0
8587,515,359817,180,656,1,Self_Employed,Not Graduate,Rural,24,1
2844,8695,572797,240,665,1,Unemployed,Graduate,Urban,53,0
18120,7869,576554,360,824,1,Self_Employed,Not Graduate,Semiurban,24,1
7718,1154,588627,120,825,1,Unemployed,Graduate,Semiurban,47,1
19070,1991,245517,180,649,1,Unemployed,Not Graduate,Urban,40,0
8322,3886,309499,240,713,1,Self_Employed,Graduate,Urban,33,1
10065,5234,641456,300,630,1,Self_Employed,Not Graduate,Semiurban,21,0
12924,721,89464,240,583,0,Self_Employed,Graduate,Semiurban,42,0
17160,9336,125534,360,330,0,Salaried,Not Graduate,Urban,41,0
2111,3676,596080,180,452,0,Salaried,Graduate,Semiurban,23,0
16707,4686,102553,240,750,1,Unemployed,Not Graduate,Rural,21,1
5495,3512,223382,120,693,1,Self_Employed,Graduate,Rural,38,1
15575,6662,78739,360,875,1,Salaried,Graduate,Semiurban,53,1
3852,8781,121171,120,562,1,Self_Employed,Graduate,Rural,55,0
19558,9987,335920,240,664,0,Salaried,Not Graduate,Urban,26,0
15136,1339,54716,240,671,1,Salaried,Not Graduate,Urban,59,1
10989,2415,572076,360,402,1,Salaried,Graduate,Rural,39,0
12025,9216,561685,360,614,0,Self_Employed,Not Graduate,Urban,39,0
14402,7883,688977,300,845,1,Unemployed,Graduate,Urban,53,1
3159,934,583649,240,566,0,Unemployed,Not Graduate,Urban,59,0
8826,3206,500991,240,698,1,Self_Employed,Not Graduate,Urban,45,1
8984,1907,689412,120,542,1,Salaried,Not Graduate,Semiurban,21,0
8335,6854,342749,300,578,0,Salaried,Not Graduate,Semiurban,29,0
7888,4928,220864,120,543,0,Self_Employed,Not Graduate,Urban,54,0
12325,323,248680,240,591,0,Self_Employed,Not Graduate,Rural,24,0
13235,3141,474511,120,449,1,Self_Employed,Not Graduate,Rural,32,0
15772,8559,617236,180,612,1,Self_Employed,Not Graduate,Semiurban,22,0
15492,61,161687,360,373,1,Unemployed,Not Graduate,Semiurban,47,0
18127,5435,608149,120,775,1,Salaried,Graduate,Urban,45,1
4081,208,617956,120,682,0,Self_Employed,Not Graduate,Urban,43,0
15734,8665,385049,240,409,1,Unemployed,Graduate,Rural,25,0
4715,8697,218282,300,634,1,Self_Employed,Not Graduate,Rural,34,0
4300,4062,518801,120,474,1,Salaried,Graduate,Urban,57,0
15597,7371,93176,180,532,0,Self_Employed,Not Graduate,Rural,39,0
19565,7144,464064,240,780,0,Salaried,Graduate,Rural,46,0
15967,9152,447670,300,355,1,Unemployed,Graduate,Rural,21,0
18681,4385,533733,120,656,0,Unemployed,Not Graduate,Semiurban,22,0
6060,1305,688284,360,793,0,Self_Employed,Graduate,Urban,49,0
3774,4788,408816,360,731,1,Unemployed,Not Graduate,Semiurban,40,0
13408,4784,562426,360,809,1,Unemployed,Graduate,Urban,52,1
15970,5748,594086,240,308,1,Salaried,Not Graduate,Rural,41,0
12845,5672,315236,360,781,1,Salaried,Not Graduate,Rural,32,1
19539,946,390077,300,312,0,Self_Employed,Not Graduate,Rural,40,0
3922,2750,124505,240,516,1,Salaried,Not Graduate,Urban,52,0
19665,3371,304564,180,336,1,Unemployed,Not Graduate,Semiurban,30,0
7937,5751,635727,180,411,1,Self_Employed,Graduate,Rural,36,0
16467,7978,345657,360,434,1,Self_Employed,Graduate,Urban,54,0
19191,6626,217487,240,731,0,Salaried,Graduate,Semiurban,41,0
15402,7910,629646,360,581,1,Self_Employed,Graduate,Rural,29,0
17815,5269,243779,360,538,0,Self_Employed,Not Graduate,Semiurban,26,0
7218,8084,146071,180,734,1,Self_Employed,Graduate,Rural,36,1
3131,7514,382158,180,561,1,Self_Employed,Graduate,Semiurban,39,0
19899,4515,448847,240,467,1,Unemployed,Not Graduate,Semiurban,30,0
9878,8091,372163,360,725,0,Salaried,Graduate,Urban,27,0
5466,2691,277202,240,872,1,Unemployed,Graduate,Urban,23,1
7096,3033,156605,300,491,1,Salaried,Graduate,Semiurban,34,0
14035,7036,425373,300,471,1,Unemployed,Not Graduate,Semiurban,43,0
2504,516,364647,120,733,1,Salaried,Not Graduate,Semiurban,23,0
15100,4489,523319,180,397,1,Self_Employed,Graduate,Rural,45,0
4793,5060,239627,240,358,0,Salaried,Graduate,Semiurban,49,0
2564,6817,329801,360,889,1,Unemployed,Graduate,Rural,49,0
14812,2993,494534,120,480,1,Unemployed,Graduate,Urban,41,0
16440,3095,158745,300,857,1,Unemployed,Graduate,Urban,45,1
14977,1801,427063,360,307,1,Self_Employed,Graduate,Urban,28,0
5699,5959,66190,120,507,1,Unemployed,Graduate,Rural,34,0
10186,8093,321755,120,703,1,Salaried,Not Graduate,Rural,43,1
8616,8341,433839,300,549,1,Self_Employed,Graduate,Semiurban,43,0
17557,1488,164480,360,808,1,Self_Employed,Graduate,Urban,58,1
10579,590,598154,360,607,0,Unemployed,Graduate,Rural,38,0
13761,2003,416667,120,481,0,Self_Employed,Graduate,Semiurban,42,0
5580,7717,284617,180,670,1,Salaried,Not Graduate,Urban,41,1
14944,3674,539416,180,517,1,Unemployed,Not Graduate,Semiurban,23,0
4096,9292,478953,180,739,1,Unemployed,Not Graduate,Semiurban,34,1
12206,3218,89198,120,310,0,Self_Employed,Graduate,Rural,31,0
18049,3562,114929,180,458,1,Salaried,Graduate,Rural,23,0
10426,331,520252,300,584,0,Unemployed,Not Graduate,Rural,27,0
18257,4473,247719,120,673,1,Self_Employed,Graduate,Urban,36,1
15452,7966,235108,180,817,1,Self_Employed,Not Graduate,Urban,26,1
10892,5142,185985,240,881,1,Self_Employed,Graduate,Semiurban,37,1
17496,2324,480400,360,849,0,Self_Employed,Graduate,Semiurban,35,0
15744,8809,547570,120,797,1,Unemployed,Not Graduate,Rural,48,1
14911,5199,354798,360,758,0,Self_Employed,Not Graduate,Urban,29,0
17919,5537,318134,360,620,0,Salaried,Not Graduate,Semiurban,26,0
17807,9071,327972,180,411,1,Unemployed,Not Graduate,Urban,30,0
17944,3405,529397,240,703,1,Unemployed,Not Graduate,Rural,56,1
14804,9097,350822,180,326,0,Self_Employed,Not Graduate,Urban,29,0
9005,7217,662650,240,373,0,Unemployed,Graduate,Rural,58,0
13943,2794,669824,240,616,1,Unemployed,Graduate,Semiurban,25,0
16991,8807,668454,360,327,0,Salaried,Graduate,Semiurban,25,0
18941,1324,144313,360,505,0,Salaried,Not Graduate,Rural,32,0
5458,7916,432891,240,738,1,Self_Employed,Graduate,Rural,41,1
2935,8810,635095,240,675,1,Unemployed,Graduate,Urban,29,0
4800,6401,683537,240,879,1,Self_Employed,Not Graduate,Rural,53,1
9748,5376,206792,360,306,1,Unemployed,Graduate,Semiurban,55,0
7921,2970,222461,300,506,1,Self_Employed,Graduate,Semiurban,58,0
8998,478,485653,300,637,1,Salaried,Graduate,Semiurban,41,0
2457,4010,293512,120,885,1,Salaried,Not Graduate,Rural,40,0
11286,853,302053,300,755,1,Self_Employed,Graduate,Rural,25,1
7412,8047,683872,180,314,0,Unemployed,Graduate,Rural,54,0
13036,9985,436430,360,524,1,Self_Employed,Not Graduate,Urban,36,0
8092,9722,223224,300,605,1,Self_Employed,Not Graduate,Semiurban,57,0
16471,9148,440511,240,431,1,Self_Employed,Not Graduate,Rural,45,0
2269,8786,183927,240,528,1,Salaried,Graduate,Rural,57,0
5854,3548,532086,180,677,0,Self_Employed,Graduate,Urban,44,0
3358,7742,274683,120,827,1,Unemployed,Not Graduate,Urban,53,0
11887,7163,90624,240,532,1,Salaried,Not Graduate,Rural,49,0
12240,6833,286416,300,401,0,Self_Employed,Graduate,Semiurban,23,0
7080,7359,367577,240,893,1,Self_Employed,Graduate,Urban,27,1
5242,615,648780,120,378,1,Salaried,Not Graduate,Semiurban,23,0
3075,7817,256572,180,687,0,Self_Employed,Not Graduate,Urban,44,0
7209,9240,374661,120,780,1,Salaried,Graduate,Semiurban,36,1
4493,6212,489038,120,613,1,Salaried,Graduate,Urban,48,0
2806,2842,258369,360,700,1,Self_Employed,Graduate,Rural,24,0
14159,3892,679795,240,529,1,Unemployed,Not Graduate,Rural,50,0
19048,3179,468719,240,496,1,Self_Employed,Graduate,Semiurban,23,0
4813,3229,575529,300,676,0,Unemployed,Graduate,Semiurban,43,0
18844,3969,478270,120,779,1,Unemployed,Not Graduate,Rural,21,1
11997,9422,168157,180,324,1,Salaried,Not Graduate,Urban,21,0
17638,2575,554977,240,568,1,Unemployed,Not Graduate,Semiurban,54,0
11226,3489,50111,240,835,1,Salaried,Graduate,Rural,36,1
8952,672,207249,180,697,1,Self_Employed,Graduate,Urban,27,1
16542,765,411049,360,600,1,Unemployed,Not Graduate,Semiurban,22,0
4280,6885,253094,300,899,1,Salaried,Graduate,Semiurban,21,1
19113,197,365946,240,638,1,Unemployed,Graduate,Semiurban,42,0
8203,7670,699366,240,580,0,Self_Employed,Graduate,Rural,38,0
16429,9714,211745,300,792,1,Salaried,Graduate,Urban,27,1
11426,7738,354275,300,888,1,Salaried,Not Graduate,Rural,33,1
2681,4469,409214,240,666,1,Self_Employed,Not Graduate,Rural,30,0
4504,7047,118893,300,823,1,Self_Employed,Not Graduate,Urban,35,1
14342,6142,116294,300,556,1,Salaried,Graduate,Rural,27,0
4014,2974,379172,180,363,1,Self_Employed,Not Graduate,Semiurban,52,0
12537,9246,421614,300,827,1,Salaried,Not Graduate,Rural,22,1
16237,6569,313852,180,874,1,Self_Employed,Graduate,Rural,51,1
19967,7176,215327,120,807,1,Self_Employed,Not Graduate,Semiurban,53,1
4847,3693,336716,300,717,1,Self_Employed,Not Graduate,Rural,45,1
9320,3541,533076,180,661,1,Unemployed,Not Graduate,Urban,56,1
5951,5169,445219,120,646,1,Self_Employed,Graduate,Semiurban,32,0
8521,4468,379024,300,407,1,Unemployed,Graduate,Semiurban,41,0
15508,2651,682337,300,695,1,Unemployed,Graduate,Rural,23,1
8432,3248,636385,360,649,1,Unemployed,Not Graduate,Urban,33,0
16991,7641,441153,240,611,0,Self_Employed,Graduate,Urban,38,0
13869,6813,488888,360,502,1,Unemployed,Not Graduate,Semiurban,41,0
3586,4679,213205,300,577,0,Salaried,Not Graduate,Urban,53,0
14337,1562,328370,360,644,1,Salaried,Graduate,Rural,22,0
1862,9695,242387,360,761,1,Self_Employed,Graduate,Semiurban,22,0
6148,3470,61776,300,845,1,Unemployed,Graduate,Urban,55,1
19787,5246,499143,240,536,1,Salaried,Not Graduate,Urban,28,0
13559,6280,695667,120,821,1,Salaried,Not Graduate,Urban,44,1
15456,3111,577965,300,729,0,Self_Employed,Graduate,Rural,22,0
2959,7447,603409,300,654,0,Unemployed,Graduate,Rural,43,0
12417,3917,520926,180,593,1,Salaried,Not Graduate,Urban,34,0
8447,8232,467324,120,515,1,Self_Employed,Not Graduate,Urban,31,0
2042,857,401942,300,406,1,Self_Employed,Not Graduate,Rural,58,0
19683,8990,276961,240,663,0,Salaried,Not Graduate,Rural,23,0
8628,1449,232717,120,407,0,Unemployed,Not Graduate,Semiurban,58,0
15412,2896,572040,180,594,1,Self_Employed,Graduate,Urban,23,0
1739,1404,478304,120,685,1,Salaried,Not Graduate,Urban,52,0
15723,2878,225298,180,534,1,Self_Employed,Graduate,Urban,56,0
8815,3915,290206,300,649,0,Self_Employed,Graduate,Urban,48,0
4393,5959,509441,300,870,1,Salaried,Not Graduate,Semiurban,46,1
7619,5734,114325,120,523,1,Self_Employed,Graduate,Semiurban,31,0
7617,9509,301769,240,880,1,Salaried,Not Graduate,Semiurban,59,1
17859,6587,686193,360,730,1,Self_Employed,Not Graduate,Semiurban,59,1
11630,8864,619413,120,419,1,Self_Employed,Not Graduate,Semiurban,45,0
9123,6985,346544,360,676,1,Salaried,Graduate,Urban,51,1
17944,753,562256,300,792,1,Self_Employed,Graduate,Urban,31,1
13948,8959,661115,240,367,0,Salaried,Not Graduate,Semiurban,24,0
4936,6120,541782,120,422,1,Unemployed,Not Graduate,Semiurban,27,0
15194,2960,79070,360,467,1,Unemployed,Not Graduate,Rural,30,0
1867,5671,538613,120,691,1,Salaried,Graduate,Urban,22,0
5712,421,387244,120,589,1,Unemployed,Graduate,Rural,30,0
15814,5626,557512,240,734,1,Salaried,Graduate,Semiurban,46,1
14736,7427,420810,360,328,0,Unemployed,Not Graduate,Semiurban,37,0
13764,3555,525877,300,714,0,Unemployed,Graduate,Semiurban,28,0
8892,4611,176375,300,729,0,Self_Employed,Not Graduate,Urban,22,0
4154,4619,296176,300,873,1,Salaried,Not Graduate,Semiurban,21,1
19760,1134,573420,180,468,0,Unemployed,Not Graduate,Urban,44,0
16431,3582,635183,180,754,1,Self_Employed,Graduate,Semiurban,47,1
6739,6962,473741,240,788,1,Self_Employed,Graduate,Rural,41,1
19475,2816,319669,360,769,1,Salaried,Not Graduate,Urban,45,1
15166,4662,510611,360,669,1,Salaried,Graduate,Semiurban,27,1
13175,7791,364253,180,708,1,Salaried,Not Graduate,Rural,41,1
7945,8903,175265,180,349,1,Unemployed,Not Graduate,Semiurban,57,0
15149,1723,495730,180,315,0,Self_Employed,Graduate,Urban,26,0
5299,3393,84290,240,439,1,Self_Employed,Graduate,Semiurban,28,0
1932,482,271636,120,602,0,Salaried,Graduate,Semiurban,49,0
12602,8120,138651,120,836,0,Self_Employed,Not Graduate,Rural,29,0
18765,7509,282341,120,894,1,Salaried,Not Graduate,Urban,53,1
14782,3665,400321,360,516,1,Unemployed,Not Graduate,Semiurban,35,0
19704,8855,488306,120,643,1,Unemployed,Graduate,Rural,38,0
16925,2979,302115,240,817,1,Self_Employed,Graduate,Semiurban,49,1
7384,9121,255658,180,634,1,Self_Employed,Graduate,Rural,26,0
1870,9094,117272,360,331,0,Salaried,Not Graduate,Urban,50,0
8573,5154,539961,120,411,1,Salaried,Graduate,Urban,40,0
15186,358,200990,180,595,0,Salaried,Graduate,Semiurban,35,0
9151,4553,569075,360,683,1,Self_Employed,Not Graduate,Urban,45,1
9653,8856,408359,300,798,1,Unemployed,Graduate,Semiurban,28,1
15393,1757,632097,240,738,1,Unemployed,Not Graduate,Rural,35,1
15773,9733,362544,240,544,1,Unemployed,Not Graduate,Semiurban,47,0
19519,2992,465336,240,893,1,Self_Employed,Graduate,Semiurban,52,1
18013,2969,402578,240,654,1,Self_Employed,Not Graduate,Semiurban,34,1
5795,5572,352832,240,724,0,Unemployed,Not Graduate,Rural,51,0
13429,5870,695316,120,684,0,Self_Employed,Not Graduate,Semiurban,27,0
10816,6182,438393,120,433,0,Salaried,Not Graduate,Urban,55,0
9288,2254,72314,300,562,1,Self_Employed,Graduate,Rural,59,0
4750,3145,407263,360,832,1,Self_Employed,Graduate,Rural,23,1
2935,6066,85003,120,822,0,Salaried,Not Graduate,Semiurban,58,0
5692,28,319649,240,339,0,Self_Employed,Not Graduate,Urban,22,0
19463,1423,384695,180,677,0,Self_Employed,Not Graduate,Urban,22,0
5359,3108,573871,180,833,0,Salaried,Not Graduate,Rural,43,0
19209,647,81612,360,567,0,Unemployed,Graduate,Semiurban,31,0
9792,5791,260435,300,581,0,Unemployed,Graduate,Rural,35,0
17311,7339,263933,300,880,1,Self_Employed,Graduate,Rural,42,1
16356,2844,66025,120,428,0,Unemployed,Not Graduate,Semiurban,48,0
8220,8374,633580,300,544,1,Salaried,Not Graduate,Semiurban,44,0
1872,6262,511138,300,657,0,Salaried,Not Graduate,Rural,21,0
4668,6826,81455,240,309,0,Unemployed,Graduate,Urban,58,0
19390,1439,313063,180,427,0,Unemployed,Graduate,Semiurban,28,0
14129,6642,692314,120,509,0,Self_Employed,Graduate,Urban,32,0
7924,4932,207581,300,609,1,Self_Employed,Not Graduate,Semiurban,24,0
10718,2624,184989,300,607,1,Self_Employed,Graduate,Urban,40,0
5027,3985,63837,180,723,0,Unemployed,Not Graduate,Semiurban,53,0
3751,2116,416547,360,892,0,Unemployed,Graduate,Semiurban,28,0
1743,6112,601939,120,535,1,Unemployed,Graduate,Urban,29,0
18258,5328,493532,300,580,1,Unemployed,Graduate,Semiurban,31,0
14651,3495,335704,120,317,1,Unemployed,Not Graduate,Semiurban,42,0
5661,8702,134861,120,600,1,Self_Employed,Not Graduate,Semiurban,57,0
4012,7334,635003,360,737,1,Salaried,Not Graduate,Urban,34,1
13162,5558,359215,300,832,1,Unemployed,Graduate,Urban,51,1
17393,7932,140773,120,309,0,Unemployed,Not Graduate,Urban,50,0
7841,1639,66653,300,715,1,Salaried,Graduate,Rural,47,1
10493,5117,690301,300,435,1,Self_Employed,Not Graduate,Urban,29,0
17478,9463,116076,240,390,1,Unemployed,Graduate,Semiurban,40,0
14327,4224,66285,360,355,1,Unemployed,Graduate,Semiurban,43,0
17007,3500,403597,120,642,1,Self_Employed,Graduate,Rural,31,0
5483,7524,627946,120,780,1,Salaried,Not Graduate,Semiurban,47,1
6435,1385,672898,300,830,1,Self_Employed,Not Graduate,Semiurban,47,1
19912,4783,141663,120,639,0,Unemployed,Graduate,Urban,46,0
8441,7728,598782,240,857,1,Self_Employed,Not Graduate,Urban,25,1
19327,7590,458385,240,434,1,Unemployed,Graduate,Rural,58,0
16140,1412,196421,180,791,1,Self_Employed,Not Graduate,Urban,59,1
2445,1787,290167,120,415,1,Unemployed,Graduate,Urban,39,0
2348,1009,295424,120,661,1,Salaried,Graduate,Semiurban,52,0
18203,7207,235238,360,663,0,Unemployed,Not Graduate,Urban,36,0
9140,4317,439659,300,657,0,Salaried,Not Graduate,Rural,47,0
14689,4843,188699,360,731,1,Salaried,Not Graduate,Rural,23,1
3593,4781,511478,240,571,1,Salaried,Not Graduate,Semiurban,46,0
6588,2208,548929,120,520,1,Salaried,Graduate,Urban,54,0
11290,9089,668309,120,539,1,Salaried,Not Graduate,Urban,22,0
19240,4844,235981,360,696,1,Unemployed,Graduate,Urban,33,1
18643,1199,129767,360,487,1,Self_Employed,Not Graduate,Semiurban,22,0
4887,3746,409238,180,575,0,Unemployed,Not Graduate,Rural,32,0
19224,5418,78502,180,403,1,Unemployed,Not Graduate,Urban,22,0
7285,7370,573223,180,609,0,Self_Employed,Not Graduate,Urban,24,0
6762,8618,86673,360,880,1,Self_Employed,Not Graduate,Semiurban,39,1
2377,3836,240391,300,809,1,Self_Employed,Graduate,Semiurban,52,0
9497,9191,558861,360,854,0,Unemployed,Graduate,Semiurban,31,0
1581,7631,685161,240,617,0,Salaried,Graduate,Semiurban,22,0
3746,3802,404280,120,609,1,Self_Employed,Not Graduate,Rural,21,0
13816,1641,552599,300,440,1,Salaried,Not Graduate,Semiurban,33,0
17574,1576,231433,120,408,1,Unemployed,Not Graduate,Rural,41,0
14272,5695,593505,300,588,1,Salaried,Graduate,Urban,47,0
13715,1068,300984,300,652,1,Self_Employed,Not Graduate,Urban,47,1
5774,2941,454736,240,321,1,Self_Employed,Not Graduate,Rural,22,0
5170,7548,596571,240,646,1,Unemployed,Not Graduate,Semiurban,57,0
7825,6040,156020,240,418,1,Salaried,Not Graduate,Semiurban,37,0
12695,8019,165007,120,598,1,Self_Employed,Not Graduate,Urban,54,0
7447,6093,367414,240,785,0,Unemployed,Graduate,Urban,50,0
10858,5511,274650,300,762,1,Unemployed,Graduate,Rural,57,1
15244,501,489001,120,776,1,Self_Employed,Graduate,Semiurban,41,1
2580,8916,538457,300,769,1,Self_Employed,Not Graduate,Semiurban,47,0
3396,3592,671174,180,653,1,Unemployed,Not Graduate,Semiurban,28,0
11883,809,238500,120,856,0,Self_Employed,Not Graduate,Urban,50,0
10323,5026,501003,300,584,1,Self_Employed,Not Graduate,Urban,29,0
4549,1198,474656,300,502,0,Unemployed,Graduate,Urban,50,0
12048,8904,623166,120,381,0,Salaried,Graduate,Semiurban,36,0
7932,1335,385063,180,312,1,Salaried,Graduate,Semiurban,37,0
12851,1780,470590,120,781,0,Self_Employed,Not Graduate,Rural,51,0
15786,6724,113843,240,858,1,Salaried,Graduate,Urban,30,1
4478,303,601035,240,542,1,Salaried,Not Graduate,Urban,50,0
10129,2567,296320,240,745,1,Self_Employed,Graduate,Semiurban,48,1
6812,248,403566,360,751,1,Unemployed,Graduate,Semiurban,52,1
5463,4181,679024,180,594,0,Salaried,Graduate,Urban,26,0
3937,9302,75749,120,331,1,Self_Employed,Graduate,Urban,42,0
8500,19,470730,360,450,1,Salaried,Graduate,Rural,33,0
3821,3579,286654,180,416,1,Salaried,Graduate,Urban,37,0
11680,4453,600241,300,545,1,Unemployed,Not Graduate,Urban,33,0
3860,1366,382001,120,597,1,Salaried,Not Graduate,Semiurban,49,0
11900,2409,143363,240,669,1,Self_Employed,Not Graduate,Semiurban,30,1
15053,7957,593948,180,653,1,Salaried,Graduate,Rural,46,1
1837,9972,210959,300,847,1,Unemployed,Graduate,Urban,57,0
17957,7307,157060,180,460,1,Self_Employed,Not Graduate,Semiurban,57,0
18624,4163,241938,300,721,1,Unemployed,Not Graduate,Urban,57,1
4748,5021,584361,180,426,1,Self_Employed,Graduate,Urban,38,0
2239,9425,252419,240,383,0,Salaried,Not Graduate,Semiurban,45,0
15228,7493,461996,360,681,1,Salaried,Not Graduate,Urban,44,1
6890,3823,475129,300,820,1,Self_Employed,Graduate,Urban,40,1
